section,category,pct_isolated,pct_general,n_iso,n_gen,chi2,p_value,cohen_h,diff_pct,significant
"【A12_3_1 TO A12_3_4】 정서적 고립▶개인적으로 돈을 빌려야 할 때, 부탁할 수 있는 사람","그 외 타인 (이웃, 직장동료 등)",2.263,11.995,486,5027,42.408,0.0,0.4053,-9.732,True
【B12_5】 우울 척도▶다른 사람들이 눈치챌 정도로 평소보다 말과 행동이 느려졌다/혹은 너무 안절부절못해서 가만히 앉아있을 수 없었다.,없음,51.852,71.315,486,5027,79.3394,0.0,0.4034,-19.463,True
【B12_5】 우울 척도▶다른 사람들이 눈치챌 정도로 평소보다 말과 행동이 느려졌다/혹은 너무 안절부절못해서 가만히 앉아있을 수 없었다.,거의 매일,12.551,2.586,486,5027,131.5876,0.0,0.4013,9.965,True
【B12_4】 우울 척도▶평소보다 식욕이 줄었다/혹은 평소보다 많이 먹었다.,없음,35.391,55.202,486,5027,69.9049,0.0,0.4007,-19.811,True
【A18_3】 외로움 척도▶나는 혼자 남겨진 것 같다고 느껴진다,별로그렇지않다,17.901,35.329,486,5027,60.162,0.0,0.3993,-17.428,True
【A19_2】 성인기 전 경험▶부모님(혹은 그 외의 나를 키워준 사람)이 나를 심하게 때리거나 꾸짖고 모욕했던 경험,없다,48.765,68.212,486,5027,75.2219,0.0,0.3975,-19.447,True
【A19_2】 성인기 전 경험▶부모님(혹은 그 외의 나를 키워준 사람)이 나를 심하게 때리거나 꾸짖고 모욕했던 경험,있다,51.235,31.788,486,5027,75.2219,0.0,0.3975,19.447,True
【C7x7】 가족에 대한 교육과 상담▶제공 기간,4~6개월 정도,3.846,14.854,486,5027,44.4157,0.0,0.3965,-11.008,True
"【A2_1_5】 미취업 이유▶학교, 학원, 훈련기관 등을 다니지는 않고, 혼자 취업 또는 학업을 준비하고 있어서",예 (해당함),17.123,34.218,486,5027,59.1338,0.0,0.3964,-17.095,True
"【A2_1_5】 미취업 이유▶학교, 학원, 훈련기관 등을 다니지는 않고, 혼자 취업 또는 학업을 준비하고 있어서",아니오 (해당하지 않음),82.877,65.782,486,5027,59.1338,0.0,0.3964,17.095,True
